Career,Recommended Skills,Courses
Data Scientist,Python;Pandas;Machine Learning,IBM ML on Coursera;Google ML Crash Course
Web Developer,HTML;CSS;JavaScript;React,FreeCodeCamp Web Dev;Coursera Frontend
App Developer,Java;Kotlin;Android Studio,Android Basics by Google;YouTube Kotlin Series
AI Engineer,Python;Numpy;Deep Learning,DeepLearning.AI;MIT AI Course
Cybersecurity Expert,Networking;Linux;Ethical Hacking,Cybrary Courses;Great Learning Cybersecurity
Software Engineer,Python;Data Structures;System Design,Scaler DSA;CS50 Harvard
ML Engineer,Python;Pandas;Scikit-learn,Google ML Course;FastAI
Frontend Developer,HTML;CSS;JavaScript,FrontendMasters;YouTube Full Stack Series
Backend Developer,Node.js;Databases;APIs,Udemy NodeJS;MongoDB University
Data Analyst,Excel;SQL;Tableau,Google Data Analytics;Coursera SQL
Cloud Engineer,AWS;Docker;Kubernetes,A Cloud Guru;AWS Certified Solutions Architect
DevOps Engineer,Jenkins;CI/CD;Docker,Udemy DevOps;Linux Academy
Mobile Developer,Swift;React Native;Flutter,Udacity iOS Dev;Google Flutter Course
Blockchain Developer,Solidity;Ethereum;Cryptography,Consensys Academy;Blockchain Basics
Game Developer,C++;Unreal Engine;3D Modeling,Udemy Game Dev;Unity Learn
